framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,Quick,default,MultiPreserve,tshift_all_no_incr,7,Failed,299,613918,0,0,0,0.35778900841251016,0.3234229914378375,0.0005290000699460506,0.6812119998503476,75,75,19,77.0,77.0
Quick,Quick,default,MultiPreserve,tshift_all_no_incr,8,Failed,988,2082409,0,0,0,1.2241219903808087,1.1072270097211003,0.00042399996891617775,2.331349000101909,60,60,19,59.0,59.0
Quick,Quick,default,MultiPreserve,tshift_all_no_incr,9,Failed,96,189990,0,0,0,0.11292200349271296,0.10070699639618401,0.0004650000482797622,0.21362899988889697,59,59,19,54.0,54.0
Quick,Quick,default,SinglePreserve,shift_var_all,0,Failed,54101,111351923,0,0,0,64.37094609602354,58.07207890390417,0.0005149999633431435,122.44302499992772,73,73,22,73.0,73.0
Quick,Quick,default,SinglePreserve,shift_var_all,1,Failed,2900,6129616,0,0,0,3.6343581383116543,3.306304861791432,0.00027600000612437725,6.940663000103086,49,49,22,39.0,39.0
Quick,Quick,default,SinglePreserve,shift_var_all,2,Failed,60315,123743947,0,0,0,71.81932428316213,64.73340671672486,0.0005370001308619976,136.552730999887,63,63,22,55.0,55.0
Quick,Quick,default,SinglePreserve,shift_var_all,3,Failed,13493,27680683,0,0,0,15.929691882338377,14.320259117754174,0.00046999985352158546,30.24995100009255,58,58,22,49.0,49.0
Quick,Quick,default,SinglePreserve,shift_var_all,4,Failed,70098,142913335,0,0,0,82.9841348612681,74.87954813870601,0.000297000166028738,157.86368299997412,41,41,22,26.0,26.0
Quick,Quick,default,SinglePreserve,shift_var_all,5,Failed,107199,219427220,0,0,0,128.22517665009946,116.38942934968512,0.0004740001168102026,244.61460599978457,40,40,22,24.0,24.0
Quick,Quick,default,SinglePreserve,shift_var_all,6,Failed,9943,20250147,0,0,0,11.665536997606978,10.500062002334744,0.0004900000058114529,22.16559899994172,46,46,22,32.0,32.0
Quick,Quick,default,SinglePreserve,shift_var_all,7,Failed,58646,120149341,0,0,0,69.77463655616157,63.16118844388984,0.0003349999897181988,132.9358250000514,59,59,22,54.0,54.0
Quick,Quick,default,SinglePreserve,shift_var_all,8,timed_out,,,,,,,0,,,0,0,22,,
Quick,Quick,default,MultiPreserve,shift_var_all,0,Failed,43415,88648588,0,0,0,51.32133505214006,46.38960394798778,0.0004969998262822628,97.71093900012784,61,61,22,55.0,55.0
Quick,Quick,default,MultiPreserve,shift_var_all,1,Failed,4047,8291545,0,0,0,4.735460881376639,4.227586118504405,0.0004869999829679728,8.963046999881044,58,58,22,51.0,51.0
Quick,Quick,default,MultiPreserve,shift_var_all,2,Failed,56673,116010764,0,0,0,66.79568528570235,60.32969371415675,0.00050400011241436,127.1253789998591,47,47,22,36.0,36.0
Quick,Quick,default,MultiPreserve,shift_var_all,3,Failed,51268,104776234,0,0,0,60.10873038112186,53.88454761891626,0.0004420001059770584,113.99327800003812,63,63,22,57.0,57.0
Quick,Quick,default,MultiPreserve,shift_var_all,4,Failed,26640,54597028,0,0,0,31.940636083250865,28.747778916731477,0.0004950000438839197,60.68841499998234,36,36,22,21.0,21.0
Quick,Quick,default,MultiPreserve,shift_var_all,5,Failed,4467,9068056,0,0,0,5.141825944650918,4.605527055449784,0.0004650000482797622,9.747353000100702,52,52,22,42.0,42.0
Quick,Quick,default,MultiPreserve,shift_var_all,6,Failed,42061,85289943,0,0,0,48.54975179512985,43.536692204652354,0.0004710000939667225,92.0864439997822,45,45,22,31.0,31.0
Quick,Quick,default,MultiPreserve,shift_var_all,7,Failed,10855,21879499,0,0,0,12.629015083424749,11.407809916650875,0.0004590000025928021,24.036825000075623,56,56,22,46.0,46.0
Quick,Quick,default,MultiPreserve,shift_var_all,8,Failed,54414,111599709,0,0,0,63.45547504606657,56.83825795399025,0.0002679999452084303,120.29373300005682,39,39,22,23.0,23.0
Quick,Quick,default,MultiPreserve,shift_var_all,9,Failed,42745,87008461,0,0,0,49.64924591593444,44.47335008392112,0.0004920000210404396,94.12259599985556,39,39,22,23.0,23.0
Quick,Quick,default,SinglePreserve,shift_var_no_incr,0,Failed,152977,312351931,0,0,0,180.2922342037782,163.85046279616654,0.0026809999253600836,344.14269699994475,44,44,22,30.0,30.0
Quick,Quick,default,SinglePreserve,shift_var_no_incr,1,timed_out,,,,,,,0,,,0,0,22,,
Quick,Quick,default,MultiPreserve,shift_var_no_incr,0,Failed,3602,7432218,0,0,0,4.393164965789765,4.096040034200996,0.0005200000014156103,8.489204999990761,72,72,22,69.0,69.0
Quick,Quick,default,MultiPreserve,shift_var_no_incr,1,timed_out,,,,,,,0,,,0,0,22,,
Quick,Quick,default,SinglePreserve,shift_abs_no_incr,0,Failed,34521,71242067,0,0,0,41.36986511480063,37.18707488523796,0.000530000077560544,78.5569400000386,43,43,22,28.0,28.0
Quick,Quick,default,SinglePreserve,shift_abs_no_incr,1,Failed,10866,22185805,0,0,0,12.926604161038997,11.730533838737754,0.0004710000939667225,24.65713799977675,46,46,22,36.0,36.0
Quick,Quick,default,SinglePreserve,shift_abs_no_incr,2,timed_out,,,,,,,0,,,0,0,22,,
Quick,Quick,default,MultiPreserve,shift_abs_no_incr,0,Failed,22839,46535128,0,0,0,27.32407702645287,24.66671697353013,0.00047600013203918934,51.990793999983,61,61,22,52.0,52.0
Quick,Quick,default,MultiPreserve,shift_abs_no_incr,1,Failed,71853,146595051,0,0,0,84.87065138597973,76.4957066141069,0.0005010000895708799,161.36635800008662,56,56,22,46.0,46.0
Quick,Quick,default,MultiPreserve,shift_abs_no_incr,2,Failed,41015,83781644,0,0,0,48.2916254112497,43.47335158870554,0.0005660001188516617,91.76497699995524,42,42,22,27.0,27.0
Quick,Quick,default,MultiPreserve,shift_abs_no_incr,3,Failed,1342,2746875,0,0,0,1.5940840407274663,1.4470959592144936,0.0005530000198632479,3.04117999994196,50,50,22,38.0,38.0
Quick,Quick,default,MultiPreserve,shift_abs_no_incr,4,Failed,34998,70941597,0,0,0,41.084587971679866,37.22220202838071,0.00048099993728101254,78.30679000006057,48,48,22,35.0,35.0
Quick,Quick,default,MultiPreserve,shift_abs_no_incr,5,Failed,2013,4175338,0,0,0,2.4396550266537815,2.222341973334551,0.0004780001472681761,4.661996999988332,40,40,22,24.0,24.0
Quick,Quick,default,MultiPreserve,shift_abs_no_incr,6,Failed,142383,291895627,0,0,0,171.2476493762806,155.22176562366076,0.0011609999928623438,326.46941499994136,42,42,22,30.0,30.0
Quick,Quick,default,MultiPreserve,shift_abs_no_incr,7,Failed,9071,18597615,0,0,0,10.761972986161709,9.708698013797402,0.0005570000503212214,20.47067099995911,63,63,22,56.0,56.0
Quick,Quick,default,MultiPreserve,shift_abs_no_incr,8,Failed,114698,235884217,0,0,0,137.36384822498076,124.47163777495734,0.0011100000701844692,261.8354859999381,51,51,22,41.0,41.0
