framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,Quick,none,InsertUnion,insert_2,9,Failed,1,3,0,0,0,2.0000035874545578e-05,0.00022299995180219412,0.0002050000475719571,0.0002429999876767397,13,13,13,4.0,4.0
Quick,Quick,none,UnionDeleteInsert,insert_1,0,Failed,4,36,0,0,0,5.0999922677874565e-05,0.00027700013015419245,0.00018799991812556985,0.000328000052832067,19,19,13,10.0,10.0
Quick,Quick,none,UnionDeleteInsert,insert_1,1,Failed,6,106,0,0,0,0.00010400009341537952,0.000282999943010509,0.00019799999427050352,0.00038700003642588854,13,13,13,4.0,4.0
Quick,Quick,none,UnionDeleteInsert,insert_1,2,Failed,1,5,0,0,0,2.299982588738203e-05,0.000221000169403851,0.00019500008784234524,0.00024399999529123304,25,25,13,16.0,16.0
Quick,Quick,none,UnionDeleteInsert,insert_1,3,Failed,2,36,0,0,0,5.700008478015661e-05,0.00022499996703118086,0.00018700002692639828,0.00028200005181133747,13,13,13,4.0,4.0
Quick,Quick,none,UnionDeleteInsert,insert_1,4,Failed,1,9,0,0,0,2.49999575316906e-05,0.0002180000301450491,0.00020000000949949023,0.0002429999876767397,13,13,13,4.0,4.0
Quick,Quick,none,UnionDeleteInsert,insert_1,5,Failed,13,162,0,0,0,0.00016100029461085796,0.0003139997133985162,0.00017900008242577314,0.00047500000800937414,13,13,13,4.0,4.0
Quick,Quick,none,UnionDeleteInsert,insert_1,6,Failed,3,11,0,0,0,2.899998798966408e-05,0.00021600001491606236,0.00019399996381253004,0.00024500000290572643,19,19,13,10.0,10.0
Quick,Quick,none,UnionDeleteInsert,insert_1,7,Failed,0,4,0,0,0,2.00001522898674e-05,0.00023999984841793776,0.00022099993657320735,0.00026000000070780516,13,13,13,4.0,4.0
Quick,Quick,none,UnionDeleteInsert,insert_1,8,Failed,2,28,0,0,0,4.800013266503811e-05,0.0002569998614490032,0.0001949999714270234,0.00030499999411404133,13,13,13,4.0,4.0
Quick,Quick,none,UnionDeleteInsert,insert_1,9,Failed,0,6,0,0,0,2.00001522898674e-05,0.0002169999061152339,0.00021199998445808887,0.0002370000584051013,13,13,13,4.0,4.0
Quick,Quick,none,UnionDeleteInsert,insert_2,0,Failed,7,129,0,0,0,0.00014100002590566874,0.00028499995823949575,0.00022400007583200932,0.0004259999841451645,13,13,13,4.0,4.0
Quick,Quick,none,UnionDeleteInsert,insert_2,1,Failed,3,37,0,0,0,4.800013266503811e-05,0.00023999984841793776,0.00019399996381253004,0.00028799998108297586,13,13,13,4.0,4.0
