ts pid rss_mb vsz_mb pcpu pmem cmd
23:10:34 92668 1565.7 1449241.8 137.2 9.6 ./bin/rbt
23:10:40 92668 4377.7 1449242.8 110.6 26.7 ./bin/rbt
23:10:45 92668 5722.7 1449242.8 107.6 34.9 ./bin/rbt
23:10:50 92668 5722.7 1449242.8 106.9 34.9 ./bin/rbt
23:10:55 92668 5772.9 1449242.8 107.2 35.2 ./bin/rbt
23:11:05 93522 1913.7 1449242.8 143.6 11.7 ./bin/rbt
23:11:10 93522 3831.7 1449242.8 124.1 23.4 ./bin/rbt
23:11:15 93522 5153.7 1449242.8 99.2 31.5 ./bin/rbt
23:11:20 93522 5593.7 1449242.8 109.1 34.1 ./bin/rbt
23:11:25 93522 6084.6 1449242.8 109.8 37.1 ./bin/rbt
23:11:30 93522 4631.2 1449242.8 167.0 28.3 ./bin/rbt
23:11:35 94259 1302.7 1449242.8 244.7 8.0 ./bin/rbt
23:11:40 94259 3580.7 1449242.8 121.4 21.9 ./bin/rbt
23:11:45 94259 5502.7 1449242.8 108.5 33.6 ./bin/rbt
23:11:50 94259 5821.3 1449242.8 109.7 35.5 ./bin/rbt
23:11:55 94259 5355.7 1449242.8 107.6 32.7 ./bin/rbt
23:12:00 94259 5371.6 1449242.8 320.6 32.8 ./bin/rbt
23:12:05 95108 2706.6 1449240.8 103.3 16.5 ./bin/rbt
23:12:10 95108 4671.7 1449242.8 105.6 28.5 ./bin/rbt
23:12:15 95108 5883.7 1449242.8 105.8 35.9 ./bin/rbt
23:12:20 95108 5849.4 1449242.8 107.4 35.7 ./bin/rbt
23:12:25 95108 4530.6 1449242.8 97.8 27.7 ./bin/rbt
23:12:30 95108 4044.3 1449242.8 94.0 24.7 ./bin/rbt
23:12:35 95869 2273.5 1449230.3 209.9 13.9 ./bin/rbt
23:12:40 95869 4117.6 1449230.3 164.7 25.1 ./bin/rbt
23:12:45 95869 5170.6 1449231.3 108.4 31.6 ./bin/rbt
23:12:50 95869 5558.6 1449231.3 108.7 33.9 ./bin/rbt
23:12:55 95869 6389.3 1449231.3 134.2 39.0 ./bin/rbt
23:13:00 95869 3842.2 1449231.3 141.6 23.5 ./bin/rbt
23:13:05 96635 2519.7 1449234.8 111.0 15.4 ./bin/rbt
23:13:10 96635 4238.7 1449234.8 109.2 25.9 ./bin/rbt
23:13:15 96635 5424.7 1449234.8 107.6 33.1 ./bin/rbt
23:13:20 96635 6491.6 1449234.8 118.3 39.6 ./bin/rbt
23:13:26 96635 4269.9 1449234.8 129.4 26.1 ./bin/rbt
23:13:31 96635 3224.2 1449234.8 101.2 19.7 ./bin/rbt
23:13:36 97415 1303.3 1449250.8 112.0 8.0 ./bin/rbt
23:13:41 97415 3651.7 1449250.8 102.9 22.3 ./bin/rbt
23:13:46 97415 5526.7 1449250.8 97.5 33.7 ./bin/rbt
23:13:51 97415 4420.1 1449250.8 110.1 27.0 ./bin/rbt
23:13:56 97415 5181.5 1449250.8 101.6 31.6 ./bin/rbt
23:14:01 97415 6000.1 1449250.8 107.5 36.6 ./bin/rbt
23:14:06 99477 1394.7 1449233.8 221.1 8.5 ./bin/rbt
23:14:11 99477 4276.7 1449234.8 112.9 26.1 ./bin/rbt
23:14:16 99477 5396.7 1449234.8 105.0 32.9 ./bin/rbt
23:14:21 99477 5396.7 1449234.8 107.9 32.9 ./bin/rbt
23:14:26 99477 5487.7 1449234.8 109.2 33.5 ./bin/rbt
23:14:31 99477 5697.8 1449234.8 206.9 34.8 ./bin/rbt
23:14:36 437 1320.8 1449250.8 175.0 8.1 ./bin/rbt
23:14:41 437 3554.8 1449250.8 123.7 21.7 ./bin/rbt
23:14:46 437 5397.7 1449250.8 108.1 32.9 ./bin/rbt
23:14:51 437 5084.9 1449250.8 110.0 31.0 ./bin/rbt
23:14:56 437 5068.3 1449250.8 108.1 30.9 ./bin/rbt
23:15:01 437 5809.7 1449250.8 100.4 35.5 ./bin/rbt
23:15:06 1186 788.7 1449241.8 104.4 4.8 ./bin/rbt
23:15:11 1186 4040.7 1449242.8 263.4 24.7 ./bin/rbt
23:15:16 1186 4447.7 1449242.8 144.2 27.1 ./bin/rbt
23:15:21 1186 5822.7 1449242.8 108.1 35.5 ./bin/rbt
23:15:26 1186 5822.7 1449242.8 108.0 35.5 ./bin/rbt
23:15:31 1186 5756.2 1449242.8 109.8 35.1 ./bin/rbt
23:15:46 4622 370.6 1449238.8 131.7 2.3 ./bin/rbt
23:15:51 4735 731.6 1449231.3 110.4 4.5 ./bin/rbt
23:15:56 4735 4139.6 1449231.3 144.6 25.3 ./bin/rbt
23:16:01 4735 4732.6 1449232.3 131.1 28.9 ./bin/rbt
23:16:06 4735 5536.6 1449232.3 108.1 33.8 ./bin/rbt
23:16:11 4735 5484.8 1449232.3 108.2 33.5 ./bin/rbt
23:16:16 4735 5532.8 1449232.3 188.2 33.8 ./bin/rbt
23:16:22 5470 1233.6 1449231.8 137.7 7.5 ./bin/rbt
23:16:27 5470 3848.6 1449232.8 112.4 23.5 ./bin/rbt
23:16:32 5470 5290.6 1449232.8 109.0 32.3 ./bin/rbt
23:16:37 5470 5772.5 1449232.8 107.6 35.2 ./bin/rbt
23:16:42 5470 5423.7 1449233.8 117.9 33.1 ./bin/rbt
23:16:47 5470 3729.5 1449234.8 144.9 22.8 ./bin/rbt
23:16:52 7086 802.6 1449232.8 111.1 4.9 ./bin/rbt
23:16:57 7086 3168.7 1449234.8 191.4 19.3 ./bin/rbt
23:17:02 7086 5391.2 1449234.8 109.2 32.9 ./bin/rbt
23:17:07 7086 5364.0 1449234.8 108.5 32.7 ./bin/rbt
23:17:12 7086 5825.3 1449234.8 109.5 35.6 ./bin/rbt
23:17:17 7086 6289.0 1449234.8 108.5 38.4 ./bin/rbt
23:17:22 7775 805.7 1449242.8 129.3 4.9 ./bin/rbt
23:17:27 7775 4443.7 1449242.8 113.1 27.1 ./bin/rbt
23:17:32 7775 4714.7 1449242.8 157.1 28.8 ./bin/rbt
23:17:37 7775 6067.8 1449242.8 95.7 37.0 ./bin/rbt
23:17:42 7775 4757.9 1449242.8 121.2 29.0 ./bin/rbt
23:17:47 7775 2701.6 1449242.8 102.9 16.5 ./bin/rbt
23:17:52 8531 703.7 1449241.8 112.8 4.3 ./bin/rbt
23:17:57 8531 4420.7 1449241.8 168.5 27.0 ./bin/rbt
23:18:02 8531 4420.7 1449241.8 108.3 27.0 ./bin/rbt
23:18:07 8531 5396.1 1449242.8 108.7 32.9 ./bin/rbt
23:18:12 8531 5996.3 1449242.8 120.2 36.6 ./bin/rbt
23:18:17 8531 4083.9 1449242.8 190.4 24.9 ./bin/rbt
23:18:22 9265 147.7 1449241.8 82.3 0.9 ./bin/rbt
23:23:29 27897 51.1 1449222.5 0.0 0.3 ./bin/rbt
23:24:29 41230 0.0 400504.5 0.0 0.0 ./bin/rbt
23:24:34 41230 2350.1 1449238.8 116.7 14.3 ./bin/rbt
23:24:39 41230 4031.4 1449238.8 113.8 24.6 ./bin/rbt
23:24:44 41230 5165.9 1449238.8 121.5 31.5 ./bin/rbt
23:24:50 41230 5702.5 1449239.8 101.6 34.8 ./bin/rbt
23:24:55 41230 4277.1 1449242.8 209.9 26.1 ./bin/rbt
23:25:05 42002 1325.0 1449247.8 123.5 8.1 ./bin/rbt
23:25:10 42002 3736.1 1449248.8 105.5 22.8 ./bin/rbt
23:25:15 42002 4870.7 1449250.8 113.2 29.7 ./bin/rbt
23:25:20 42002 4828.0 1449250.8 107.7 29.5 ./bin/rbt
